"Name","Role","Type","Missing","Minimum","Maximum","Average","Deviation","Least","Most","Values","Earliest Date","Latest Date","Duration"
"usa_telegram",,"integer",0,0.0,1.0,0.05146036161335188,0.2209567676090822,,,,,,
"usa_instagram",,"integer",0,0.0,1.0,0.13014106894496325,0.3364920028959486,,,,,,
"usa_youtube",,"integer",0,0.0,1.0,0.3016093781045102,0.4590022020318228,,,,,,
"usa_skype",,"integer",0,0.0,1.0,0.030598052851182198,0.17224316140162427,,,,,,
"usa_snapchat",,"integer",0,0.0,1.0,0.034571825948738324,0.18271083074597372,,,,,,
"usa_line",,"integer",0,0.0,1.0,0.010927876018279357,0.10397406161476731,,,,,,
"usa_rrss_conectar_amigos",,"integer",0,0.0,1.0,0.9036360023842639,0.29511909871060793,,,,,,
"usa_rrss_conocer_gente",,"integer",0,0.0,1.0,0.41525928869461554,0.49281565196127386,,,,,,
"usa_rrss_temas_politicos",,"integer",0,0.0,1.0,0.1595469898668786,0.3662217848448283,,,,,,
"usa_rrss_noticias",,"integer",0,0.0,1.0,0.45281144446652094,0.4978177173843978,,,,,,
"usa_rrss_compartir_contenido",,"integer",0,0.0,1.0,0.362408106497119,0.48074358097606773,,,,,,
"usa_rrss_debates",,"integer",0,0.0,1.0,0.03278362805483807,0.17808751564756414,,,,,,
"usa_rrss_videos_fotos",,"integer",0,0.0,1.0,0.47426981919332406,0.499387132657837,,,,,,
"usa_rrss_negocios",,"integer",0,0.0,1.0,0.06318299225114246,0.24331597695000806,,,,,,
"usa_rrss_causa_demanda_social",,"integer",0,0.0,1.0,0.02940592092191536,0.16895823353351916,,,,,,
"usa_rrss_comprar_vender_productos",,"integer",0,0.0,1.0,0.037552155771905425,0.1901293606981971,,,,,,
"usa_rrss_seguir_cuentas",,"integer",0,0.0,1.0,0.08464136697794555,0.2783749321959119,,,,,,
"cant_dias_usa_rrss",,"integer",0,0.0,7.0,4.857142857142857,2.280433016883502,,,,,,
"apoyo_causa_social_rrss",,"integer",0,0.0,1.0,0.17365388436320287,0.37884921795047344,,,,,,
"pertenece_grupo_o_comunidad",,"integer",0,0.0,1.0,0.26485197695211604,0.44129819929395286,,,,,,
"comunidad_videojuegos",,"integer",0,0.0,1.0,0.052652493542618715,0.22336096585439855,,,,,,
"comunidad_anime",,"integer",0,0.0,1.0,0.027419034373137294,0.16331726931460916,,,,,,
"comunidad_sodtware_libre",,"integer",0,0.0,1.0,0.0065567256109676135,0.08071573218810923,,,,,,
"comunidad_tecnologia",,"integer",0,0.0,1.0,0.03318100536459368,0.17912677480358083,,,,,,
"comunidad_actividades_politicas",,"integer",0,0.0,1.0,0.017285912974369162,0.13034755848814936,,,,,,
"comunidad_cultura",,"integer",0,0.0,1.0,0.03814822173653885,0.19157303263659523,,,,,,
"comudad_profesional_estudio",,"integer",0,0.0,1.0,0.07927677329624479,0.27019709855902135,,,,,,
"comunidad_deportes",,"integer",0,0.0,1.0,0.0584144645340751,0.23454881230806435,,,,,,
"comunidad_educacion",,"integer",0,0.0,1.0,0.05940790780846414,0.23641005255735795,,,,,,
"comunidad_ecologia",,"integer",0,0.0,1.0,0.012517385257301807,0.1111897330809159,,,,,,
"comunidad_musica",,"integer",0,0.0,1.0,0.0584144645340751,0.23454881230806435,,,,,,
"realizo_llamada_voz_internet",,"integer",0,0.0,1.0,0.6173256507053447,0.4860880971258474,,,,,,
"prefiere_medio_para_noticias_nacionales",,"integer",0,1.0,8.0,1.8893304192330618,1.6973605388338404,,,,,,
"prefiere_medio_para_noticias_internacionales",,"integer",0,1.0,8.0,2.3332008742300814,1.9508172706415272,,,,,,
"prefiere_medio_ciencia_tecnologia",,"integer",0,1.0,8.0,2.818398569441685,2.0911282189844904,,,,,,
"prefiere_medio_para_entretenimiento",,"integer",0,1.0,8.0,2.499900655672561,2.1376633320357845,,,,,,
"prefiere_medio_para_ofertas_laborales",,"integer",0,1.0,8.0,2.4279753626067953,1.878045542950452,,,,,,
"cree_medio_rapido",,"integer",0,1.0,7.0,2.9078084641366977,2.187423545216703,,,,,,
"cree_medio_veridico",,"integer",0,1.0,7.0,2.3649910590105305,1.9213733529241623,,,,,,
"cree_medio_serio",,"integer",0,1.0,7.0,2.22193522749851,1.66089278856408,,,,,,
"cree_medio_claro",,"integer",0,1.0,7.0,2.264653288297238,1.761036164989648,,,,,,
"cree_medio_imparcial",,"integer",0,1.0,7.0,2.7879992052453804,2.133035408532503,,,,,,
"cree_medio_profundo",,"integer",0,1.0,7.0,2.5817603814822174,2.0306967408705727,,,,,,
"cree_medio_participativo",,"integer",0,1.0,7.0,3.890125173852573,2.271787255289325,,,,,,
"edad_uso_computadora_primera_vez",,"integer",0,2.0,63.0,18.10053645936817,8.716898876536305,,,,,,
"edad_uso_internet_primera_ve",,"integer",0,1.0,80.0,20.806675938803895,9.956013111502125,,,,,,
"sexo",,"integer",0,0.0,1.0,0.5032783628054838,0.5000389307208277,,,,,,
"nivel_instruccion",,"integer",0,1.0,8.0,4.086230876216968,1.9439981316950257,,,,,,
"estado_civil",,"integer",0,1.0,4.0,1.5529505265249355,0.6554981304492616,,,,,,
"primer_idioma",,"integer",0,1.0,5.0,1.1343135306973973,0.49864762522566525,,,,,,
"categoria_ocupacional",,"integer",0,1.0,10.0,4.024836081859726,2.401720678960633,,,,,,
"nivel_instruccion_jefe_hogar",,"integer",0,1.0,8.0,3.835684482416054,2.0911802387003706,,,,,,
"estabilidad_laboral_jefe_hogar",,"integer",0,1.0,5.0,1.4985098350884165,0.9775133542124045,,,,,,
"ingreso_mensual_prom_hogar",,"integer",0,1.0,8.0,2.3987681303397577,1.1867271028736028,,,,,,
"tiene_agua_potable",,"integer",0,0.0,1.0,0.9493343930061593,0.21933572852534686,,,,,,
"tiene_alcantarillado",,"integer",0,0.0,1.0,0.7532286906417643,0.4311753342604569,,,,,,
"tiene_energia_electrica",,"integer",0,0.0,1.0,0.9680111265646731,0.17598789488159525,,,,,,
"tiene_lavadora",,"integer",0,0.0,1.0,0.3385654679117822,0.47326883988795176,,,,,,
"tiene_microondas",,"integer",0,0.0,1.0,0.23345916948142262,0.423073928831148,,,,,,
"tiene_calefon",,"integer",0,0.0,1.0,0.43055831512020665,0.4952035704027274,,,,,,
"tiene_tarjeta_credto",,"integer",0,0.0,1.0,0.17047486588515795,0.37608681014628054,,,,,,
"tiene_casa_propia",,"integer",0,0.0,1.0,0.6932247168686668,0.46120111790157325,,,,,,
"cant_banios",,"integer",0,0.0,15.0,1.4627458772104114,0.8615696350756855,,,,,,
"tiene_automovil_reciente",,"integer",0,0.0,1.0,0.14245976554738723,0.3495558015066495,,,,,,
"viajo_extranjero_con_familia",,"integer",0,0.0,1.0,0.0522551162328631,0.22256316176740842,,,,,,
"cant_personas_convive",,"integer",0,1.0,12.0,4.500099344327439,1.6745458268491114,,,,,,
"departamento",,"integer",0,1.0,9.0,4.970792767732963,2.575208426005974,,,,,,
"tipo_localidad",,"integer",0,1.0,3.0,1.6820981521955096,0.8129219026302568,,,,,,
